,number,prime_factors,ideal,deviation,anti_slope,family_factors,identity_factor,factor_family,color_bucket
387,16098,"[ 2, 3, 2683 ]",25.249763092898625,901.0832543642995,17.865163870298414,"[ 2, 3 ]",2683,6.0,2
388,16122,"[ 2, 3, 2687 ]",25.262304887134288,902.4207682957114,17.86528032865156,"[ 2, 3 ]",2687,6.0,2
389,16134,"[ 2, 3, 2689 ]",25.26857111705447,903.0895237056849,17.865338459244533,"[ 2, 3 ]",2689,6.0,2
390,16158,"[ 2, 3, 2693 ]",25.281094261771948,904.4270314205905,17.865454523866347,"[ 2, 3 ]",2693,6.0,2
391,16194,"[ 2, 3, 2699 ]",25.29985574862943,906.4332852495431,17.865628131188668,"[ 2, 3 ]",2699,6.0,2
392,16242,"[ 2, 3, 2707 ]",25.32482786181678,909.108275953939,17.865858698686974,"[ 2, 3 ]",2707,6.0,2
393,16266,"[ 2, 3, 2711 ]",25.337295471393514,910.4457651571311,17.8659735950254,"[ 2, 3 ]",2711,6.0,2
394,16278,"[ 2, 3, 2713 ]",25.343524677660813,911.1145082258869,17.866030946753728,"[ 2, 3 ]",2713,6.0,2
395,16314,"[ 2, 3, 2719 ]",25.362193947526553,913.1207313158421,17.86620261757818,"[ 2, 3 ]",2719,6.0,2
396,16374,"[ 2, 3, 2729 ]",25.39324845870768,916.4644161529026,17.866487461383517,"[ 2, 3 ]",2729,6.0,2
397,16386,"[ 2, 3, 2731 ]",25.399450253668814,917.1331500845563,17.866544240047666,"[ 2, 3 ]",2731,6.0,2
398,16446,"[ 2, 3, 2741 ]",25.430413895510636,920.4768046318368,17.866827189173886,"[ 2, 3 ]",2741,6.0,2
399,16494,"[ 2, 3, 2749 ]",25.455130629713643,923.1517102099046,17.867052422239052,"[ 2, 3 ]",2749,6.0,2
400,16518,"[ 2, 3, 2753 ]",25.467471017359784,924.4891570057865,17.867164665833513,"[ 2, 3 ]",2753,6.0,2
401,16602,"[ 2, 3, 2767 ]",25.510568475883307,929.1701894919611,17.867555575666298,"[ 2, 3 ]",2767,6.0,2
402,16662,"[ 2, 3, 2777 ]",25.541263450113924,932.5137544833714,17.86783296213259,"[ 2, 3 ]",2777,6.0,2
403,16734,"[ 2, 3, 2789 ]",25.578000305419724,936.5260001018065,17.86816382906711,"[ 2, 3 ]",2789,6.0,2
404,16746,"[ 2, 3, 2791 ]",25.5841128639761,937.194704287992,17.868218763274292,"[ 2, 3 ]",2791,6.0,2
405,16782,"[ 2, 3, 2797 ]",25.602433036984767,939.2008110123284,17.86838320753932,"[ 2, 3 ]",2797,6.0,2
406,16806,"[ 2, 3, 2801 ]",25.614631934857805,940.5382106449525,17.868492539474467,"[ 2, 3 ]",2801,6.0,2
407,16818,"[ 2, 3, 2803 ]",25.620727028945048,941.2069090096484,17.86854711648488,"[ 2, 3 ]",2803,6.0,2
408,16914,"[ 2, 3, 2819 ]",25.669383719411165,946.5564612398038,17.868981611351497,"[ 2, 3 ]",2819,6.0,2
409,16998,"[ 2, 3, 2833 ]",25.711807521314967,951.2372691737718,17.86935872977745,"[ 2, 3 ]",2833,6.0,2
410,17022,"[ 2, 3, 2837 ]",25.723902928260152,952.5746343094202,17.869465957741244,"[ 2, 3 ]",2837,6.0,2
411,17058,"[ 2, 3, 2843 ]",25.74202473976854,954.5806749132562,17.86962636924331,"[ 2, 3 ]",2843,6.0,2
412,17106,"[ 2, 3, 2851 ]",25.766147536819485,957.2553825122732,17.869839451940276,"[ 2, 3 ]",2851,6.0,2
413,17142,"[ 2, 3, 2857 ]",25.784210036626895,959.2614033455424,17.869998667949282,"[ 2, 3 ]",2857,6.0,2
414,17166,"[ 2, 3, 2861 ]",25.796237658213425,960.598745886071,17.870104529613787,"[ 2, 3 ]",2861,6.0,2
415,17274,"[ 2, 3, 2879 ]",25.850223663585364,966.6167412211952,17.870578134387095,"[ 2, 3 ]",2879,6.0,2
416,17322,"[ 2, 3, 2887 ]",25.874145226028045,969.2913817420094,17.870787181527312,"[ 2, 3 ]",2887,6.0,2
417,17382,"[ 2, 3, 2897 ]",25.90398511549306,972.6346617051644,17.87104725378276,"[ 2, 3 ]",2897,6.0,2
418,17418,"[ 2, 3, 2903 ]",25.921856100889432,974.6406187002966,17.871202642084896,"[ 2, 3 ]",2903,6.0,2
419,17454,"[ 2, 3, 2909 ]",25.93970247905754,976.6465674930192,17.871357542169168,"[ 2, 3 ]",2909,6.0,2
420,17502,"[ 2, 3, 2917 ]",25.963459518075535,979.3211531726919,17.871563320468507,"[ 2, 3 ]",2917,6.0,2
421,17562,"[ 2, 3, 2927 ]",25.99309481319727,982.6643649377324,17.87181933794133,"[ 2, 3 ]",2927,6.0,2
422,17634,"[ 2, 3, 2939 ]",26.028568203938228,986.6761894013126,17.872124805910047,"[ 2, 3 ]",2939,6.0,2
423,17718,"[ 2, 3, 2953 ]",26.06983199795096,991.3566106659837,17.872478792568117,"[ 2, 3 ]",2953,6.0,2
424,17742,"[ 2, 3, 2957 ]",26.08159769152522,992.6938658971752,17.872579462315066,"[ 2, 3 ]",2957,6.0,2
425,17778,"[ 2, 3, 2963 ]",26.09922635366268,994.6997421178876,17.872730078473296,"[ 2, 3 ]",2963,6.0,2
426,17814,"[ 2, 3, 2969 ]",26.116831233438564,996.7056104111462,17.87288023055437,"[ 2, 3 ]",2969,6.0,2
427,17826,"[ 2, 3, 2971 ]",26.122694255575908,997.3742314185253,17.872930178521653,"[ 2, 3 ]",2971,6.0,2
428,17994,"[ 2, 3, 2999 ]",26.204501683598256,1006.7348338945327,17.873624110522318,"[ 2, 3 ]",2999,6.0,2
429,18006,"[ 2, 3, 3001 ]",26.210325553483,1007.403441851161,17.873673299063732,"[ 2, 3 ]",3001,6.0,2
430,18066,"[ 2, 3, 3011 ]",26.239406156003458,1010.7464687186679,17.873918494023954,"[ 2, 3 ]",3011,6.0,2
431,18114,"[ 2, 3, 3019 ]",26.262624313151086,1013.4208747710503,17.874113757615536,"[ 2, 3 ]",3019,6.0,2
432,18138,"[ 2, 3, 3023 ]",26.2742180126211,1014.7580726708737,17.874211093743988,"[ 2, 3 ]",3023,6.0,2
433,18222,"[ 2, 3, 3037 ]",26.31471560530205,1019.4382385351008,17.87455022894218,"[ 2, 3 ]",3037,6.0,2
434,18246,"[ 2, 3, 3041 ]",26.32626347978718,1020.7754211599291,17.874646686992794,"[ 2, 3 ]",3041,6.0,2
435,18294,"[ 2, 3, 3049 ]",26.349328885062558,1023.4497762950208,17.87483902358737,"[ 2, 3 ]",3049,6.0,2
436,18366,"[ 2, 3, 3061 ]",26.383851464845552,1027.461283821615,17.875126089119533,"[ 2, 3 ]",3061,6.0,2
437,18402,"[ 2, 3, 3067 ]",26.401078927438803,1029.4670263091464,17.87526897872096,"[ 2, 3 ]",3067,6.0,2
