,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
534,7706,"[ 2, 3853 ]",1927.5,1925.5,4.002077382498052453908075824,[ 2 ],3853,2.0,8
535,7726,"[ 2, 3863 ]",1932.5,1930.5,4.002072002072002072002072002,[ 2 ],3863,2.0,8
536,7754,"[ 2, 3877 ]",1939.5,1937.5,4.002064516129032258064516129,[ 2 ],3877,2.0,8
537,7762,"[ 2, 3881 ]",1941.5,1939.5,4.002062387213199278164475380,[ 2 ],3881,2.0,8
538,7778,"[ 2, 3889 ]",1945.5,1943.5,4.002058142526369951119114999,[ 2 ],3889,2.0,8
539,7814,"[ 2, 3907 ]",1954.5,1952.5,4.002048655569782330345710627,[ 2 ],3907,2.0,8
540,7822,"[ 2, 3911 ]",1956.5,1954.5,4.002046559222307495523151701,[ 2 ],3911,2.0,8
541,7834,"[ 2, 3917 ]",1959.5,1957.5,4.002043422733077905491698595,[ 2 ],3917,2.0,8
542,7838,"[ 2, 3919 ]",1960.5,1958.5,4.002042379371968343119734491,[ 2 ],3919,2.0,8
543,7846,"[ 2, 3923 ]",1962.5,1960.5,4.002040295842897220096914053,[ 2 ],3923,2.0,8
544,7858,"[ 2, 3929 ]",1965.5,1963.5,4.002037178507766743060860708,[ 2 ],3929,2.0,8
545,7862,"[ 2, 3931 ]",1966.5,1964.5,4.002036141511835072537541359,[ 2 ],3931,2.0,8
546,7886,"[ 2, 3943 ]",1972.5,1970.5,4.002029941639177873636132961,[ 2 ],3943,2.0,8
547,7894,"[ 2, 3947 ]",1974.5,1972.5,4.002027883396704689480354880,[ 2 ],3947,2.0,8
548,7934,"[ 2, 3967 ]",1984.5,1982.5,4.002017654476670870113493064,[ 2 ],3967,2.0,8
549,7978,"[ 2, 3989 ]",1995.5,1993.5,4.002006521193880110358665663,[ 2 ],3989,2.0,8
550,8002,"[ 2, 4001 ]",2001.5,1999.5,4.002000500125031257814453613,[ 2 ],4001,2.0,8
