,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
140,1522,"[ 2, 761 ]",381.5,379.5,4.010540184453227931488801054,[ 2 ],761,2.0,7
141,1537,"[ 29, 53 ]",41.0,12.0,128.0833333333333333333333333,[ 29 ],53,29.0,3
142,1538,"[ 2, 769 ]",385.5,383.5,4.010430247718383311603650587,[ 2 ],769,2.0,7
143,1546,"[ 2, 773 ]",387.5,385.5,4.010376134889753566796368353,[ 2 ],773,2.0,7
144,1574,"[ 2, 787 ]",394.5,392.5,4.010191082802547770700636943,[ 2 ],787,2.0,7
145,1594,"[ 2, 797 ]",399.5,397.5,4.010062893081761006289308176,[ 2 ],797,2.0,7
146,1618,"[ 2, 809 ]",405.5,403.5,4.009913258983890954151177200,[ 2 ],809,2.0,7
147,1622,"[ 2, 811 ]",406.5,404.5,4.009888751545117428924598269,[ 2 ],811,2.0,7
148,1642,"[ 2, 821 ]",411.5,409.5,4.009768009768009768009768010,[ 2 ],821,2.0,7
149,1646,"[ 2, 823 ]",412.5,410.5,4.009744214372716199756394641,[ 2 ],823,2.0,7
150,1654,"[ 2, 827 ]",414.5,412.5,4.009696969696969696969696970,[ 2 ],827,2.0,7
151,1658,"[ 2, 829 ]",415.5,413.5,4.009673518742442563482466747,[ 2 ],829,2.0,7
152,1678,"[ 2, 839 ]",420.5,418.5,4.009557945041816009557945042,[ 2 ],839,2.0,7
153,1706,"[ 2, 853 ]",427.5,425.5,4.009400705052878965922444183,[ 2 ],853,2.0,7
154,1711,"[ 29, 59 ]",44.0,15.0,114.0666666666666666666666667,[ 29 ],59,29.0,3
155,1714,"[ 2, 857 ]",429.5,427.5,4.009356725146198830409356725,[ 2 ],857,2.0,7
156,1718,"[ 2, 859 ]",430.5,428.5,4.009334889148191365227537923,[ 2 ],859,2.0,7
157,1726,"[ 2, 863 ]",432.5,430.5,4.009291521486643437862950058,[ 2 ],863,2.0,7
158,1754,"[ 2, 877 ]",439.5,437.5,4.009142857142857142857142857,[ 2 ],877,2.0,7
159,1762,"[ 2, 881 ]",441.5,439.5,4.009101251422070534698521047,[ 2 ],881,2.0,7
160,1766,"[ 2, 883 ]",442.5,440.5,4.009080590238365493757094211,[ 2 ],883,2.0,7
161,1769,"[ 29, 61 ]",45.0,16.0,110.5625,[ 29 ],61,29.0,3
162,1774,"[ 2, 887 ]",444.5,442.5,4.009039548022598870056497175,[ 2 ],887,2.0,7
163,1814,"[ 2, 907 ]",454.5,452.5,4.008839779005524861878453039,[ 2 ],907,2.0,7
164,1822,"[ 2, 911 ]",456.5,454.5,4.008800880088008800880088009,[ 2 ],911,2.0,7
165,1838,"[ 2, 919 ]",460.5,458.5,4.008724100327153762268266085,[ 2 ],919,2.0,7
166,1858,"[ 2, 929 ]",465.5,463.5,4.008629989212513484358144552,[ 2 ],929,2.0,7
167,1874,"[ 2, 937 ]",469.5,467.5,4.008556149732620320855614973,[ 2 ],937,2.0,7
168,1882,"[ 2, 941 ]",471.5,469.5,4.008519701810436634717784878,[ 2 ],941,2.0,7
169,1894,"[ 2, 947 ]",474.5,472.5,4.008465608465608465608465608,[ 2 ],947,2.0,7
170,1906,"[ 2, 953 ]",477.5,475.5,4.008412197686645636172450053,[ 2 ],953,2.0,7
171,1934,"[ 2, 967 ]",484.5,482.5,4.008290155440414507772020725,[ 2 ],967,2.0,7
172,1942,"[ 2, 971 ]",486.5,484.5,4.008255933952528379772961816,[ 2 ],971,2.0,7
173,1943,"[ 29, 67 ]",48.0,19.0,102.2631578947368421052631579,[ 29 ],67,29.0,4
174,1954,"[ 2, 977 ]",489.5,487.5,4.008205128205128205128205128,[ 2 ],977,2.0,7
175,1966,"[ 2, 983 ]",492.5,490.5,4.008154943934760448521916412,[ 2 ],983,2.0,7
176,1982,"[ 2, 991 ]",496.5,494.5,4.008088978766430738119312437,[ 2 ],991,2.0,7
177,1994,"[ 2, 997 ]",499.5,497.5,4.008040201005025125628140704,[ 2 ],997,2.0,7
178,2018,"[ 2, 1009 ]",505.5,503.5,4.007944389275074478649453823,[ 2 ],1009,2.0,7
179,2026,"[ 2, 1013 ]",507.5,505.5,4.007912957467853610286844708,[ 2 ],1013,2.0,7
180,2038,"[ 2, 1019 ]",510.5,508.5,4.007866273352999016715830875,[ 2 ],1019,2.0,7
181,2042,"[ 2, 1021 ]",511.5,509.5,4.007850834151128557409224730,[ 2 ],1021,2.0,7
182,2059,"[ 29, 71 ]",50.0,21.0,98.04761904761904761904761905,[ 29 ],71,29.0,4
183,2062,"[ 2, 1031 ]",516.5,514.5,4.007774538386783284742468416,[ 2 ],1031,2.0,7
184,2066,"[ 2, 1033 ]",517.5,515.5,4.007759456838021338506304559,[ 2 ],1033,2.0,7
185,2078,"[ 2, 1039 ]",520.5,518.5,4.007714561234329797492767599,[ 2 ],1039,2.0,7
186,2098,"[ 2, 1049 ]",525.5,523.5,4.007640878701050620821394460,[ 2 ],1049,2.0,7
187,2102,"[ 2, 1051 ]",526.5,524.5,4.007626310772163965681601525,[ 2 ],1051,2.0,7
188,2117,"[ 29, 73 ]",51.0,22.0,96.22727272727272727272727273,[ 29 ],73,29.0,4
189,2122,"[ 2, 1061 ]",531.5,529.5,4.007554296506137865911237016,[ 2 ],1061,2.0,7
190,2126,"[ 2, 1063 ]",532.5,530.5,4.007540056550424128180961357,[ 2 ],1063,2.0,7
191,2138,"[ 2, 1069 ]",535.5,533.5,4.007497656982193064667291471,[ 2 ],1069,2.0,7
192,2174,"[ 2, 1087 ]",544.5,542.5,4.007373271889400921658986175,[ 2 ],1087,2.0,7
193,2182,"[ 2, 1091 ]",546.5,544.5,4.007346189164370982552800735,[ 2 ],1091,2.0,7
194,2186,"[ 2, 1093 ]",547.5,545.5,4.007332722273143904674610449,[ 2 ],1093,2.0,7
195,2194,"[ 2, 1097 ]",549.5,547.5,4.007305936073059360730593607,[ 2 ],1097,2.0,7
196,2206,"[ 2, 1103 ]",552.5,550.5,4.007266121707538601271571299,[ 2 ],1103,2.0,7
197,2218,"[ 2, 1109 ]",555.5,553.5,4.007226738934056007226738934,[ 2 ],1109,2.0,7
198,2234,"[ 2, 1117 ]",559.5,557.5,4.007174887892376681614349776,[ 2 ],1117,2.0,7
199,2246,"[ 2, 1123 ]",562.5,560.5,4.007136485280999107939339875,[ 2 ],1123,2.0,7
200,2258,"[ 2, 1129 ]",565.5,563.5,4.007098491570541259982253771,[ 2 ],1129,2.0,7
201,2291,"[ 29, 79 ]",54.0,25.0,91.64,[ 29 ],79,29.0,4
202,2302,"[ 2, 1151 ]",576.5,574.5,4.006962576153176675369886858,[ 2 ],1151,2.0,7
203,2306,"[ 2, 1153 ]",577.5,575.5,4.006950477845351867940920938,[ 2 ],1153,2.0,7
204,2326,"[ 2, 1163 ]",582.5,580.5,4.006890611541774332472006891,[ 2 ],1163,2.0,7
205,2342,"[ 2, 1171 ]",586.5,584.5,4.006843455945252352437981180,[ 2 ],1171,2.0,7
206,2362,"[ 2, 1181 ]",591.5,589.5,4.006785411365564037319762511,[ 2 ],1181,2.0,7
207,2374,"[ 2, 1187 ]",594.5,592.5,4.006751054852320675105485232,[ 2 ],1187,2.0,7
208,2386,"[ 2, 1193 ]",597.5,595.5,4.006717044500419815281276238,[ 2 ],1193,2.0,7
209,2402,"[ 2, 1201 ]",601.5,599.5,4.006672226855713094245204337,[ 2 ],1201,2.0,7
210,2407,"[ 29, 83 ]",56.0,27.0,89.14814814814814814814814815,[ 29 ],83,29.0,4
211,2426,"[ 2, 1213 ]",607.5,605.5,4.006606110652353426919900908,[ 2 ],1213,2.0,7
212,2434,"[ 2, 1217 ]",609.5,607.5,4.006584362139917695473251029,[ 2 ],1217,2.0,7
213,2446,"[ 2, 1223 ]",612.5,610.5,4.006552006552006552006552007,[ 2 ],1223,2.0,7
214,2458,"[ 2, 1229 ]",615.5,613.5,4.006519967400162999185004075,[ 2 ],1229,2.0,7
215,2462,"[ 2, 1231 ]",616.5,614.5,4.006509357200976403580146461,[ 2 ],1231,2.0,7
216,2474,"[ 2, 1237 ]",619.5,617.5,4.006477732793522267206477733,[ 2 ],1237,2.0,7
217,2498,"[ 2, 1249 ]",625.5,623.5,4.006415396952686447473937450,[ 2 ],1249,2.0,7
218,2518,"[ 2, 1259 ]",630.5,628.5,4.006364359586316626889419252,[ 2 ],1259,2.0,7
219,2554,"[ 2, 1277 ]",639.5,637.5,4.006274509803921568627450980,[ 2 ],1277,2.0,7
220,2558,"[ 2, 1279 ]",640.5,638.5,4.006264682850430696945967110,[ 2 ],1279,2.0,7
221,2566,"[ 2, 1283 ]",642.5,640.5,4.006245120999219359875097580,[ 2 ],1283,2.0,7
222,2578,"[ 2, 1289 ]",645.5,643.5,4.006216006216006216006216006,[ 2 ],1289,2.0,7
223,2581,"[ 29, 89 ]",59.0,30.0,86.03333333333333333333333333,[ 29 ],89,29.0,4
224,2582,"[ 2, 1291 ]",646.5,644.5,4.006206361520558572536850272,[ 2 ],1291,2.0,7
225,2594,"[ 2, 1297 ]",649.5,647.5,4.006177606177606177606177606,[ 2 ],1297,2.0,7
226,2602,"[ 2, 1301 ]",651.5,649.5,4.006158583525789068514241724,[ 2 ],1301,2.0,7
227,2606,"[ 2, 1303 ]",652.5,650.5,4.006149116064565718677940046,[ 2 ],1303,2.0,7
228,2614,"[ 2, 1307 ]",654.5,652.5,4.006130268199233716475095785,[ 2 ],1307,2.0,7
229,2638,"[ 2, 1319 ]",660.5,658.5,4.006074411541381928625664389,[ 2 ],1319,2.0,7
230,2642,"[ 2, 1321 ]",661.5,659.5,4.006065200909780136467020470,[ 2 ],1321,2.0,7
231,2654,"[ 2, 1327 ]",664.5,662.5,4.006037735849056603773584906,[ 2 ],1327,2.0,7
232,2722,"[ 2, 1361 ]",681.5,679.5,4.005886681383370125091979397,[ 2 ],1361,2.0,7
233,2734,"[ 2, 1367 ]",684.5,682.5,4.005860805860805860805860806,[ 2 ],1367,2.0,7
234,2746,"[ 2, 1373 ]",687.5,685.5,4.005835156819839533187454413,[ 2 ],1373,2.0,7
235,2762,"[ 2, 1381 ]",691.5,689.5,4.005801305293691080493110950,[ 2 ],1381,2.0,7
236,2798,"[ 2, 1399 ]",700.5,698.5,4.005726556907659269863994273,[ 2 ],1399,2.0,7
237,2813,"[ 29, 97 ]",63.0,34.0,82.73529411764705882352941176,[ 29 ],97,29.0,4
238,2818,"[ 2, 1409 ]",705.5,703.5,4.005685856432125088841506752,[ 2 ],1409,2.0,7
239,2846,"[ 2, 1423 ]",712.5,710.5,4.005629838142153413089373681,[ 2 ],1423,2.0,7
240,2854,"[ 2, 1427 ]",714.5,712.5,4.005614035087719298245614035,[ 2 ],1427,2.0,7
241,2858,"[ 2, 1429 ]",715.5,713.5,4.005606166783461807988787666,[ 2 ],1429,2.0,7
242,2866,"[ 2, 1433 ]",717.5,715.5,4.005590496156533892382948987,[ 2 ],1433,2.0,7
243,2878,"[ 2, 1439 ]",720.5,718.5,4.005567153792623521224773834,[ 2 ],1439,2.0,7
244,2894,"[ 2, 1447 ]",724.5,722.5,4.005536332179930795847750865,[ 2 ],1447,2.0,7
245,2902,"[ 2, 1451 ]",726.5,724.5,4.005521048999309868875086266,[ 2 ],1451,2.0,7
246,2906,"[ 2, 1453 ]",727.5,725.5,4.005513439007580978635423846,[ 2 ],1453,2.0,7
247,2918,"[ 2, 1459 ]",730.5,728.5,4.005490734385724090597117364,[ 2 ],1459,2.0,7
248,2929,"[ 29, 101 ]",65.0,36.0,81.36111111111111111111111111,[ 29 ],101,29.0,4
249,2942,"[ 2, 1471 ]",736.5,734.5,4.005445881552076242341729067,[ 2 ],1471,2.0,7
250,2962,"[ 2, 1481 ]",741.5,739.5,4.005409060175794455713319811,[ 2 ],1481,2.0,7
251,2966,"[ 2, 1483 ]",742.5,740.5,4.005401755570560432140445645,[ 2 ],1483,2.0,7
252,2974,"[ 2, 1487 ]",744.5,742.5,4.005387205387205387205387205,[ 2 ],1487,2.0,7
253,2978,"[ 2, 1489 ]",745.5,743.5,4.005379959650302622730329523,[ 2 ],1489,2.0,8
254,2986,"[ 2, 1493 ]",747.5,745.5,4.005365526492287055667337357,[ 2 ],1493,2.0,8
255,2987,"[ 29, 103 ]",66.0,37.0,80.72972972972972972972972973,[ 29 ],103,29.0,4
